productId,slug,familyName,canonicalProductName,strength,vialSizeMl,finishedSizeInches,pixelSizeAt600Dpi,png,pdf,archived,storefrontVisible
cmp1x0zqz002hbot9ajlkbp2q,hcg-10000iu,HCG,HCG,10000iu,3,1.75 x 0.75,1050 x 450,3ml/png/HCG 10000iu - 3mL Label.png,3ml/pdf/HCG 10000iu - 3mL Label.pdf,False,True
cmp1x0zjk0022bot996k5n5om,hgh-10iu,HGH,HGH,10iu,3,1.75 x 0.75,1050 x 450,3ml/png/HGH 10iu - 3mL Label.png,3ml/pdf/HGH 10iu - 3mL Label.pdf,False,True
cmp1x0zk10023bot96tiu35rw,hgh-15iu,HGH,HGH,15iu,3,1.75 x 0.75,1050 x 450,3ml/png/HGH 15iu - 3mL Label.png,3ml/pdf/HGH 15iu - 3mL Label.pdf,False,True
cmp1x0zkh0024bot93wmw9ziz,hgh-24iu,HGH,HGH,24iu,3,1.75 x 0.75,1050 x 450,3ml/png/HGH 24iu - 3mL Label.png,3ml/pdf/HGH 24iu - 3mL Label.pdf,False,True
cmp1x1004002ibot9oy5mrs24,hmg-75iu,HMG,HMG,75iu,3,1.75 x 0.75,1050 x 450,3ml/png/HMG 75iu - 3mL Label.png,3ml/pdf/HMG 75iu - 3mL Label.pdf,False,True
cmp1x0z86001cbot9z5eonn4l,humanin-10mg,Humanin,Humanin,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Humanin 10mg - 3mL Label.png,3ml/pdf/Humanin 10mg - 3mL Label.pdf,False,True
cmp1x0zly0027bot9m40gpq2p,igf-des-2mg,IGF-DES,IGF-DES,2mg,3,1.75 x 0.75,1050 x 450,3ml/png/IGF-DES 2mg - 3mL Label.png,3ml/pdf/IGF-DES 2mg - 3mL Label.pdf,False,True
cmp1x0zkz0025bot93vmta6vd,igf-ilr3-0-1mg,IGF-ILR3,IGF-ILR3,0.1mg,3,1.75 x 0.75,1050 x 450,3ml/png/IGF-ILR3 0.1mg - 3mL Label.png,3ml/pdf/IGF-ILR3 0.1mg - 3mL Label.pdf,True,False
cmp1x0zlh0026bot9q27xeaah,igf-ilr3-1mg,IGF-ILR3,IGF-ILR3,1mg,3,1.75 x 0.75,1050 x 450,3ml/png/IGF-ILR3 1mg - 3mL Label.png,3ml/pdf/IGF-ILR3 1mg - 3mL Label.pdf,True,False
cmp1x0zhk001wbot99xjpc46w,ipamorelin-10mg,Ipamorelin,Ipamorelin,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Ipamorelin 10mg - 3mL Label.png,3ml/pdf/Ipamorelin 10mg - 3mL Label.pdf,False,True
cmp1x0zh2001vbot9nsbu67ie,ipamorelin-5mg,Ipamorelin,Ipamorelin,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/Ipamorelin 5mg - 3mL Label.png,3ml/pdf/Ipamorelin 5mg - 3mL Label.pdf,False,True
cmp1x0zdu001obot94kvwjm4l,klow-80mg,KLOW,KLOW,80mg,3,1.75 x 0.75,1050 x 450,3ml/png/KLOW 80mg - 3mL Label.png,3ml/pdf/KLOW 80mg - 3mL Label.pdf,False,True
cmp1x0zbx001kbot9nto9gom7,kpv-10mg,KPV (Lysine-Proline-Valine),KPV (Lysine-Proline-Valine),10mg,3,1.75 x 0.75,1050 x 450,3ml/png/KPV (Lysine-Proline-Valine) 10mg - 3mL Label.png,3ml/pdf/KPV (Lysine-Proline-Valine) 10mg - 3mL Label.pdf,True,False
cmp1x0zbg001jbot9joc67y2w,kpv-5mg,KPV (Lysine-Proline-Valine),KPV (Lysine-Proline-Valine),5mg,3,1.75 x 0.75,1050 x 450,3ml/png/KPV (Lysine-Proline-Valine) 5mg - 3mL Label.png,3ml/pdf/KPV (Lysine-Proline-Valine) 5mg - 3mL Label.pdf,True,False
